question,database,output,type,cypher,explanation
Find the names of the people who acted in movies released before 1990.,movies,"<explanation>
This query starts by finding all movies released before 1990. Then, it traverses the ACTED_IN relationship backward to find the people who acted in those movies. Finally, it returns the names of those people.
</explanation>
```cypher
MATCH (m:Movie)<-[:ACTED_IN]-(p:Person)
WHERE m.released < 1990
RETURN DISTINCT p.name
```",Simple Aggregation Queries,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person)
WHERE m.released < 1990
RETURN DISTINCT p.name","This query starts by finding all movies released before 1990. Then, it traverses the ACTED_IN relationship backward to find the people who acted in those movies. Finally, it returns the names of those people."
What is the latest release year of a movie produced by Joel Silver?,movies,"<explanation>
1. We need to find movies that are produced by ""Joel Silver"".
2. Then we need to filter movies by the latest `released` year.

```cypher
MATCH (m:Movie)<-[:PRODUCED]-(p:Person {name: ""Joel Silver""})
RETURN max(m.released)
```
</explanation>
```cypher
MATCH (m:Movie)<-[:PRODUCED]-(p:Person {name: ""Joel Silver""})
RETURN max(m.released)
```",Simple Aggregation Queries,"MATCH (m:Movie)<-[:PRODUCED]-(p:Person {name: ""Joel Silver""})
RETURN max(m.released)","1. We need to find movies that are produced by ""Joel Silver"".
2. Then we need to filter movies by the latest `released` year.

```cypher
MATCH (m:Movie)<-[:PRODUCED]-(p:Person {name: ""Joel Silver""})
RETURN max(m.released)
```"
List the roles played by Laurence Fishburne in movies with more than 500 votes.,movies,"<explanation>
This query identifies all roles played by Laurence Fishburne in movies with more than 500 votes. 

1. **MATCH (p:Person {name: ""Laurence Fishburne""})-[ai:ACTED_IN]->(m:Movie)** - This part finds all movies where a person named ""Laurence Fishburne"" acted in.
2. **WHERE m.votes > 500** - This filters the movies by those that have more than 500 votes.
3. **RETURN ai.roles** - This returns the roles played by Laurence Fishburne in the filtered movies.

</explanation>
```cypher
MATCH (p:Person {name: ""Laurence Fishburne""})-[ai:ACTED_IN]->(m:Movie)
WHERE m.votes > 500
RETURN ai.roles
```",Simple Aggregation Queries,"MATCH (p:Person {name: ""Laurence Fishburne""})-[ai:ACTED_IN]->(m:Movie)
WHERE m.votes > 500
RETURN ai.roles","This query identifies all roles played by Laurence Fishburne in movies with more than 500 votes. 

1. **MATCH (p:Person {name: ""Laurence Fishburne""})-[ai:ACTED_IN]->(m:Movie)** - This part finds all movies where a person named ""Laurence Fishburne"" acted in.
2. **WHERE m.votes > 500** - This filters the movies by those that have more than 500 votes.
3. **RETURN ai.roles** - This returns the roles played by Laurence Fishburne in the filtered movies."
What are the summaries of the 3 reviews with the highest ratings?,movies,"<explanation>
This query first matches all reviews and orders them by rating in descending order. Then it limits the results to the top 3 and returns their summaries. 
</explanation>
```cypher
MATCH (:Person)-[r:REVIEWED]->(:Movie)
ORDER BY r.rating DESC
LIMIT 3
RETURN r.summary
```",Simple Aggregation Queries,"MATCH (:Person)-[r:REVIEWED]->(:Movie)
ORDER BY r.rating DESC
LIMIT 3
RETURN r.summary",This query first matches all reviews and orders them by rating in descending order. Then it limits the results to the top 3 and returns their summaries.
Find the birth years of the people who directed movies with less than 100 votes.,movies,"<explanation>
1. **Match directors and their movies:** Start by matching `Person` nodes that have a `DIRECTED` relationship with `Movie` nodes.
2. **Filter by vote count:** Filter these pairs, keeping only the ones where the `votes` property on the `Movie` is less than 100.
3. **Return birth years:** Return the `born` property of the `Person` nodes that satisfied the conditions.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes < 100
RETURN DISTINCT p.born
```
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes < 100
RETURN DISTINCT p.born
```",Simple Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes < 100
RETURN DISTINCT p.born","1. **Match directors and their movies:** Start by matching `Person` nodes that have a `DIRECTED` relationship with `Movie` nodes.
2. **Filter by vote count:** Filter these pairs, keeping only the ones where the `votes` property on the `Movie` is less than 100.
3. **Return birth years:** Return the `born` property of the `Person` nodes that satisfied the conditions.

```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE m.votes < 100
RETURN DISTINCT p.born
```"
"Who wrote movies released in the same year as ""Something's Gotta Give""?",movies,"<explanation>
1. First, we need to find the movie ""Something's Gotta Give"" and get its release year.
2. Then, we need to find all movies released in that year.
3. Finally, we need to find all persons who wrote those movies and return their names.

```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})
WITH m.released AS releaseYear
MATCH (m1:Movie {released: releaseYear})<-[:WROTE]-(p:Person)
RETURN DISTINCT p.name
```
</explanation>
```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})
WITH m.released AS releaseYear
MATCH (m1:Movie {released: releaseYear})<-[:WROTE]-(p:Person)
RETURN DISTINCT p.name
```",Simple Aggregation Queries,"MATCH (m:Movie {title: ""Something's Gotta Give""})
WITH m.released AS releaseYear
MATCH (m1:Movie {released: releaseYear})<-[:WROTE]-(p:Person)
RETURN DISTINCT p.name","1. First, we need to find the movie ""Something's Gotta Give"" and get its release year.
2. Then, we need to find all movies released in that year.
3. Finally, we need to find all persons who wrote those movies and return their names.

```cypher
MATCH (m:Movie {title: ""Something's Gotta Give""})
WITH m.released AS releaseYear
MATCH (m1:Movie {released: releaseYear})<-[:WROTE]-(p:Person)
RETURN DISTINCT p.name
```"
What is the average number of votes for movies produced by Joel Silver?,movies,"<explanation>
1. **Find Joel Silver:** Start by matching the `Person` node with `name` set to 'Joel Silver'.
2. **Traverse relationships:** Traverse the `PRODUCED` relationships from the `Person` node to the `Movie` nodes.
3. **Calculate average:** Calculate the average `votes` for all `Movie` nodes found in the previous step using the `avg()` function.
4. **Return average:** Return the average number of votes.
</explanation>
```cypher
MATCH (p:Person {name: 'Joel Silver'})-[:PRODUCED]->(m:Movie)
WITH avg(m.votes) AS average_votes
RETURN average_votes
```",Simple Aggregation Queries,"MATCH (p:Person {name: 'Joel Silver'})-[:PRODUCED]->(m:Movie)
WITH avg(m.votes) AS average_votes
RETURN average_votes","1. **Find Joel Silver:** Start by matching the `Person` node with `name` set to 'Joel Silver'.
2. **Traverse relationships:** Traverse the `PRODUCED` relationships from the `Person` node to the `Movie` nodes.
3. **Calculate average:** Calculate the average `votes` for all `Movie` nodes found in the previous step using the `avg()` function.
4. **Return average:** Return the average number of votes."
List the names of the 3 oldest people who acted in a movie.,movies,"<explanation>
This query starts by finding all `Person` nodes and orders them in descending order based on their `born` property to get the oldest people first. Then, it limits the result to the top 3 oldest people. Finally, it returns the `name` property of these 3 people.

1. **MATCH (p:Person)** - This line matches all nodes with the label ""Person"".
2. **RETURN p.name** - This line returns the name property of each Person node.
3. **ORDER BY p.born** - This line orders the results in ascending order based on the 'born' property.
4. **LIMIT 3** - This line limits the results to the first three records, effectively selecting the three oldest people. 
</explanation>
```cypher
MATCH (p:Person)
RETURN p.name
ORDER BY p.born
LIMIT 3
```",Simple Aggregation Queries,"MATCH (p:Person)
RETURN p.name
ORDER BY p.born
LIMIT 3","This query starts by finding all `Person` nodes and orders them in descending order based on their `born` property to get the oldest people first. Then, it limits the result to the top 3 oldest people. Finally, it returns the `name` property of these 3 people.

1. **MATCH (p:Person)** - This line matches all nodes with the label ""Person"".
2. **RETURN p.name** - This line returns the name property of each Person node.
3. **ORDER BY p.born** - This line orders the results in ascending order based on the 'born' property.
4. **LIMIT 3** - This line limits the results to the first three records, effectively selecting the three oldest people."
Which movies were written by people born between 1940 and 1950?,movies,"<explanation>
This query first finds all people born between 1940 and 1950. Then, it matches these people to the movies they have written. Finally, it returns the titles of those movies.
</explanation>
```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born BETWEEN 1940 AND 1950
RETURN m.title
```",Simple Aggregation Queries,"MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE p.born BETWEEN 1940 AND 1950
RETURN m.title","This query first finds all people born between 1940 and 1950. Then, it matches these people to the movies they have written. Finally, it returns the titles of those movies."
What are the titles and taglines of the movies directed by Nancy Meyers?,movies,"<explanation>
This query looks for movies directed by a person named ""Nancy Meyers"" and returns the titles and taglines of those movies.

1. **MATCH (p:Person)-[:DIRECTED]->(m:Movie)**: This part of the query searches for all instances of a ""DIRECTED"" relationship between a node with the label ""Person"" (represented by the variable `p`) and a node with the label ""Movie"" (represented by the variable `m`).
2. **WHERE p.name = ""Nancy Meyers""**: This line filters the results from the previous step to only include those where the ""name"" property of the ""Person"" node is equal to ""Nancy Meyers.""
3. **RETURN m.title, m.tagline**: Finally, the query returns the ""title"" and ""tagline"" properties of the movie nodes (`m`) that meet the specified criteria.

In essence, the query first identifies all movies directed by anyone and then narrows down the results to only those directed by ""Nancy Meyers"" before presenting the titles and taglines of those movies.
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.name = ""Nancy Meyers""
RETURN m.title, m.tagline
```",Simple Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.name = ""Nancy Meyers""
RETURN m.title, m.tagline","This query looks for movies directed by a person named ""Nancy Meyers"" and returns the titles and taglines of those movies.

1. **MATCH (p:Person)-[:DIRECTED]->(m:Movie)**: This part of the query searches for all instances of a ""DIRECTED"" relationship between a node with the label ""Person"" (represented by the variable `p`) and a node with the label ""Movie"" (represented by the variable `m`).
2. **WHERE p.name = ""Nancy Meyers""**: This line filters the results from the previous step to only include those where the ""name"" property of the ""Person"" node is equal to ""Nancy Meyers.""
3. **RETURN m.title, m.tagline**: Finally, the query returns the ""title"" and ""tagline"" properties of the movie nodes (`m`) that meet the specified criteria.

In essence, the query first identifies all movies directed by anyone and then narrows down the results to only those directed by ""Nancy Meyers"" before presenting the titles and taglines of those movies."
Find the names of 3 people who acted in movies with a rating above 95.,movies,"<explanation>
1. **Match the pattern**: Look for nodes connected by the `REVIEWED` relationship where the `rating` property is above 95. The query should start with a `MATCH` clause that looks for `Person` nodes that have a `REVIEWED` relationship with a `Movie` node.
2. **Filter based on rating**: Add a `WHERE` clause to filter the `Movie` nodes based on the given `rating` condition.
3. **Return the names**: Finally, return the `name` property of the `Person` nodes using `RETURN`.
4. **Limit the results**: Use `LIMIT` to return only the top 3 names. 
</explanation>
```cypher
MATCH (p:Person)-[:REVIEWED]->(m:Movie)
WHERE m.rating > 95
RETURN DISTINCT p.name
LIMIT 3
```",Simple Aggregation Queries,"MATCH (p:Person)-[:REVIEWED]->(m:Movie)
WHERE m.rating > 95
RETURN DISTINCT p.name
LIMIT 3","1. **Match the pattern**: Look for nodes connected by the `REVIEWED` relationship where the `rating` property is above 95. The query should start with a `MATCH` clause that looks for `Person` nodes that have a `REVIEWED` relationship with a `Movie` node.
2. **Filter based on rating**: Add a `WHERE` clause to filter the `Movie` nodes based on the given `rating` condition.
3. **Return the names**: Finally, return the `name` property of the `Person` nodes using `RETURN`.
4. **Limit the results**: Use `LIMIT` to return only the top 3 names."
